first_name,last_name,ssn,email
Tina,Fleming,619-16-7988,tina.fleming@example.com
Erica,Shah,164-51-7615,erica.shah@example.com
Paula,Ortiz,051-83-3290,paula.ortiz@example.com
James,Hendricks,776-83-2884,james.hendricks@example.com
Lauren,King,197-94-2398,lauren.king@example.com
David,Cowan,252-92-1832,david.cowan@example.com
Andrew,Burton,296-23-6842,andrew.burton@example.com
Julian,Baker,337-40-7543,julian.baker@example.com
Scott,Castro,399-46-5595,scott.castro@example.com
Billy,Rodriguez,014-18-2503,billy.rodriguez@example.com
Darrell,Leblanc,005-82-7918,darrell.leblanc@example.com
David,Hammond,561-17-6312,david.hammond@example.com
